CODPRODUTO;DESCRICAO;CODBARRAS;TAMANHO;QTDE;PREÇO
900010;JARDINEIRA JEANS TERRACOTA COLECAO DEV 010;7899009000101;2;14;197.9
900010;JARDINEIRA JEANS TERRACOTA COLECAO DEV 010;7899009000102;3;16;202.9
900011;SANDALIA TIRAS ROSA LINHA MINI 011;7899009000110;19/20;19;209.9
900011;SANDALIA TIRAS ROSA LINHA MINI 011;7899009000111;21/22;3;214.9
900012;TENIS CASUAL AZUL MODELO 2027 012;7899009000120;19/20;8;226.9
900012;TENIS CASUAL AZUL MODELO 2027 012;7899009000121;21/22;10;231.9
900012;TENIS CASUAL AZUL MODELO 2027 012;7899009000122;23/24;12;236.9
900013;MANTA SOFT AMARELO BLOOM TESTE 013;7899009000130;U;15;243.9
900014;TOALHA COM CAPUZ VERDE COLECAO DEV 014;7899009000140;U;4;260.9
900015;CHUPETA ORTODONTICA LILAS LINHA MINI 015;7899009000150;U;11;277.9
900016;BRINQUEDO MUSICAL BEGE MODELO 2027 016;7899009000160;U;18;294.9
900017;BODY MANGA LONGA OFF WHITE BLOOM TESTE 017;7899009000170;RN;7;51.9
900017;BODY MANGA LONGA OFF WHITE BLOOM TESTE 017;7899009000171;P;9;56.9
900018;MACACAO MOLETOM CINZA COLECAO DEV 018;7899009000180;P;14;68.9
900018;MACACAO MOLETOM CINZA COLECAO DEV 018;7899009000181;M;16;73.9
900018;MACACAO MOLETOM CINZA COLECAO DEV 018;7899009000182;G;18;78.9
900019;VESTIDO LISO MARINHO LINHA MINI 019;7899009000190;1;3;85.9
900019;VESTIDO LISO MARINHO LINHA MINI 019;7899009000191;2;5;90.9
900020;CONJUNTO BLUSA E CALCA TERRACOTA MODELO 2027 020;7899009000200;1;10;102.9
900020;CONJUNTO BLUSA E CALCA TERRACOTA MODELO 2027 020;7899009000201;2;12;107.9
900020;CONJUNTO BLUSA E CALCA TERRACOTA MODELO 2027 020;7899009000202;3;14;112.9
900021;BLUSA CROPPED ROSA BLOOM TESTE 021;7899009000210;1;17;119.9
900021;BLUSA CROPPED ROSA BLOOM TESTE 021;7899009000211;2;19;124.9
900022;CALCA JEANS AZUL COLECAO DEV 022;7899009000220;1;6;136.9
900022;CALCA JEANS AZUL COLECAO DEV 022;7899009000221;2;8;141.9
900022;CALCA JEANS AZUL COLECAO DEV 022;7899009000222;3;10;146.9
900023;SHORT JEANS AMARELO LINHA MINI 023;7899009000230;1;13;153.9
900023;SHORT JEANS AMARELO LINHA MINI 023;7899009000231;2;15;158.9
900024;CASACO CORTA VENTO VERDE MODELO 2027 024;7899009000240;2;20;170.9
900024;CASACO CORTA VENTO VERDE MODELO 2027 024;7899009000241;3;4;175.9
900024;CASACO CORTA VENTO VERDE MODELO 2027 024;7899009000242;4;6;180.9
900025;PIJAMA MALHA LILAS BLOOM TESTE 025;7899009000250;1;9;187.9
900025;PIJAMA MALHA LILAS BLOOM TESTE 025;7899009000251;2;11;192.9
900026;JARDINEIRA SARJA BEGE COLECAO DEV 026;7899009000260;1;16;204.9
900026;JARDINEIRA SARJA BEGE COLECAO DEV 026;7899009000261;2;18;209.9
900026;JARDINEIRA SARJA BEGE COLECAO DEV 026;7899009000262;3;20;214.9
900027;SANDALIA VELCRO OFF WHITE LINHA MINI 027;7899009000270;19/20;5;221.9
900027;SANDALIA VELCRO OFF WHITE LINHA MINI 027;7899009000271;21/22;7;226.9
900028;TENIS LONA CINZA MODELO 2027 028;7899009000280;19/20;12;238.9
900028;TENIS LONA CINZA MODELO 2027 028;7899009000281;21/22;14;243.9
900028;TENIS LONA CINZA MODELO 2027 028;7899009000282;23/24;16;248.9
900029;MANTA TRICOT MARINHO BLOOM TESTE 029;7899009000290;U;19;255.9
900030;TOALHA BORDADA TERRACOTA COLECAO DEV 030;7899009000300;U;8;272.9
900031;CHUPETA SILICONE ROSA LINHA MINI 031;7899009000310;U;15;289.9
900032;BRINQUEDO EDUCATIVO AZUL MODELO 2027 032;7899009000320;U;4;46.9
900033;BODY GOLA POLO AMARELO BLOOM TESTE 033;7899009000330;RN;11;63.9
900033;BODY GOLA POLO AMARELO BLOOM TESTE 033;7899009000331;P;13;68.9
900034;MACACAO SUEDINE VERDE COLECAO DEV 034;7899009000340;P;18;80.9
900034;MACACAO SUEDINE VERDE COLECAO DEV 034;7899009000341;M;20;85.9
900034;MACACAO SUEDINE VERDE COLECAO DEV 034;7899009000342;G;4;90.9
900035;VESTIDO TULE LILAS LINHA MINI 035;7899009000350;1;7;97.9
900035;VESTIDO TULE LILAS LINHA MINI 035;7899009000351;2;9;102.9
900036;CONJUNTO MOLETOM E JOGGER BEGE MODELO 2027 036;7899009000360;1;14;114.9
900036;CONJUNTO MOLETOM E JOGGER BEGE MODELO 2027 036;7899009000361;2;16;119.9
900036;CONJUNTO MOLETOM E JOGGER BEGE MODELO 2027 036;7899009000362;3;18;124.9
900037;BLUSA MANGA BUFANTE OFF WHITE BLOOM TESTE 037;7899009000370;1;3;131.9
900037;BLUSA MANGA BUFANTE OFF WHITE BLOOM TESTE 037;7899009000371;2;5;136.9
900038;CALCA MOLETOM CINZA COLECAO DEV 038;7899009000380;1;10;148.9
900038;CALCA MOLETOM CINZA COLECAO DEV 038;7899009000381;2;12;153.9
900038;CALCA MOLETOM CINZA COLECAO DEV 038;7899009000382;3;14;158.9
900039;SHORT MOLETOM MARINHO LINHA MINI 039;7899009000390;1;17;165.9
900039;SHORT MOLETOM MARINHO LINHA MINI 039;7899009000391;2;19;170.9
900040;CASACO TRICOT TERRACOTA MODELO 2027 040;7899009000400;2;6;182.9
900040;CASACO TRICOT TERRACOTA MODELO 2027 040;7899009000401;3;8;187.9
900040;CASACO TRICOT TERRACOTA MODELO 2027 040;7899009000402;4;10;192.9
900041;PIJAMA FLANELA ROSA BLOOM TESTE 041;7899009000410;1;13;199.9
900041;PIJAMA FLANELA ROSA BLOOM TESTE 041;7899009000411;2;15;204.9
900042;JARDINEIRA MOLETOM AZUL COLECAO DEV 042;7899009000420;1;20;216.9
900042;JARDINEIRA MOLETOM AZUL COLECAO DEV 042;7899009000421;2;4;221.9
900042;JARDINEIRA MOLETOM AZUL COLECAO DEV 042;7899009000422;3;6;226.9
900043;SANDALIA FLOR AMARELO LINHA MINI 043;7899009000430;19/20;9;233.9
900043;SANDALIA FLOR AMARELO LINHA MINI 043;7899009000431;21/22;11;238.9
900044;TENIS LUZ VERDE MODELO 2027 044;7899009000440;19/20;16;250.9
900044;TENIS LUZ VERDE MODELO 2027 044;7899009000441;21/22;18;255.9
900044;TENIS LUZ VERDE MODELO 2027 044;7899009000442;23/24;20;260.9
900045;MANTA PELUCIA LILAS BLOOM TESTE 045;7899009000450;U;5;267.9
900046;TOALHA FRALDA BEGE COLECAO DEV 046;7899009000460;U;12;284.9
900047;CHUPETA BICO REDONDO OFF WHITE LINHA MINI 047;7899009000470;U;19;41.9
900048;BRINQUEDO MONTAR CINZA MODELO 2027 048;7899009000480;U;8;58.9
900049;BODY TRANSPASSADO MARINHO BLOOM TESTE 049;7899009000490;RN;15;75.9
900049;BODY TRANSPASSADO MARINHO BLOOM TESTE 049;7899009000491;P;17;80.9
900050;MACACAO CANELADO TERRACOTA COLECAO DEV 050;7899009000500;P;4;92.9
900050;MACACAO CANELADO TERRACOTA COLECAO DEV 050;7899009000501;M;6;97.9
900050;MACACAO CANELADO TERRACOTA COLECAO DEV 050;7899009000502;G;8;102.9
900051;VESTIDO LACO ROSA LINHA MINI 051;7899009000510;1;11;109.9
900051;VESTIDO LACO ROSA LINHA MINI 051;7899009000511;2;13;114.9
900052;CONJUNTO REGATA E BERMUDA AZUL MODELO 2027 052;7899009000520;1;18;126.9
900052;CONJUNTO REGATA E BERMUDA AZUL MODELO 2027 052;7899009000521;2;20;131.9
900052;CONJUNTO REGATA E BERMUDA AZUL MODELO 2027 052;7899009000522;3;4;136.9
900053;BLUSA TRICOT AMARELO BLOOM TESTE 053;7899009000530;1;7;143.9
900053;BLUSA TRICOT AMARELO BLOOM TESTE 053;7899009000531;2;9;148.9
900054;CALCA LEGGING VERDE COLECAO DEV 054;7899009000540;1;14;160.9
900054;CALCA LEGGING VERDE COLECAO DEV 054;7899009000541;2;16;165.9
900054;CALCA LEGGING VERDE COLECAO DEV 054;7899009000542;3;18;170.9
900055;SHORT TACTEL LILAS LINHA MINI 055;7899009000550;1;3;177.9
900055;SHORT TACTEL LILAS LINHA MINI 055;7899009000551;2;5;182.9
900056;CASACO PUFFER BEGE MODELO 2027 056;7899009000560;2;10;194.9
900056;CASACO PUFFER BEGE MODELO 2027 056;7899009000561;3;12;199.9
900056;CASACO PUFFER BEGE MODELO 2027 056;7899009000562;4;14;204.9
900057;PIJAMA SHORT DOLL OFF WHITE BLOOM TESTE 057;7899009000570;1;17;211.9
900057;PIJAMA SHORT DOLL OFF WHITE BLOOM TESTE 057;7899009000571;2;19;216.9
900058;JARDINEIRA LINHO CINZA COLECAO DEV 058;7899009000580;1;6;228.9
900058;JARDINEIRA LINHO CINZA COLECAO DEV 058;7899009000581;2;8;233.9
900058;JARDINEIRA LINHO CINZA COLECAO DEV 058;7899009000582;3;10;238.9
900059;SANDALIA METALIZADA MARINHO LINHA MINI 059;7899009000590;19/20;13;245.9
900059;SANDALIA METALIZADA MARINHO LINHA MINI 059;7899009000591;21/22;15;250.9
900060;TENIS PASSEIO TERRACOTA MODELO 2027 060;7899009000600;19/20;20;262.9
900060;TENIS PASSEIO TERRACOTA MODELO 2027 060;7899009000601;21/22;4;267.9
900060;TENIS PASSEIO TERRACOTA MODELO 2027 060;7899009000602;23/24;6;272.9
900061;MANTA BORDADA ROSA BLOOM TESTE 061;7899009000610;U;9;279.9
900062;TOALHA KIT AZUL COLECAO DEV 062;7899009000620;U;16;296.9
900063;CHUPETA COM CLIPE AMARELO LINHA MINI 063;7899009000630;U;5;53.9
900064;BRINQUEDO DE BANHO VERDE MODELO 2027 064;7899009000640;U;12;70.9
900065;BODY MANGA CURTA LILAS BLOOM TESTE 065;7899009000650;RN;19;87.9
900065;BODY MANGA CURTA LILAS BLOOM TESTE 065;7899009000651;P;3;92.9
900066;MACACAO PLUSH BEGE COLECAO DEV 066;7899009000660;P;8;104.9
900066;MACACAO PLUSH BEGE COLECAO DEV 066;7899009000661;M;10;109.9
900066;MACACAO PLUSH BEGE COLECAO DEV 066;7899009000662;G;12;114.9
900067;VESTIDO FLORAL OFF WHITE LINHA MINI 067;7899009000670;1;15;121.9
900067;VESTIDO FLORAL OFF WHITE LINHA MINI 067;7899009000671;2;17;126.9
900068;CONJUNTO CAMISETA E SHORT CINZA MODELO 2027 068;7899009000680;1;4;138.9
900068;CONJUNTO CAMISETA E SHORT CINZA MODELO 2027 068;7899009000681;2;6;143.9
900068;CONJUNTO CAMISETA E SHORT CINZA MODELO 2027 068;7899009000682;3;8;148.9
900069;BLUSA BASICA MARINHO BLOOM TESTE 069;7899009000690;1;11;155.9
900069;BLUSA BASICA MARINHO BLOOM TESTE 069;7899009000691;2;13;160.9
900070;CALCA SARJA TERRACOTA COLECAO DEV 070;7899009000700;1;18;172.9
900070;CALCA SARJA TERRACOTA COLECAO DEV 070;7899009000701;2;20;177.9
900070;CALCA SARJA TERRACOTA COLECAO DEV 070;7899009000702;3;4;182.9
900071;SHORT SARJA ROSA LINHA MINI 071;7899009000710;1;7;189.9
900071;SHORT SARJA ROSA LINHA MINI 071;7899009000711;2;9;194.9
900072;CASACO MOLETOM AZUL MODELO 2027 072;7899009000720;2;14;206.9
900072;CASACO MOLETOM AZUL MODELO 2027 072;7899009000721;3;16;211.9
900072;CASACO MOLETOM AZUL MODELO 2027 072;7899009000722;4;18;216.9
900073;PIJAMA SUEDINE AMARELO BLOOM TESTE 073;7899009000730;1;3;223.9
900073;PIJAMA SUEDINE AMARELO BLOOM TESTE 073;7899009000731;2;5;228.9
900074;JARDINEIRA JEANS VERDE COLECAO DEV 074;7899009000740;1;10;240.9
900074;JARDINEIRA JEANS VERDE COLECAO DEV 074;7899009000741;2;12;245.9
900074;JARDINEIRA JEANS VERDE COLECAO DEV 074;7899009000742;3;14;250.9
900075;SANDALIA TIRAS LILAS LINHA MINI 075;7899009000750;19/20;17;257.9
900075;SANDALIA TIRAS LILAS LINHA MINI 075;7899009000751;21/22;19;262.9
900076;TENIS CASUAL BEGE MODELO 2027 076;7899009000760;19/20;6;274.9
900076;TENIS CASUAL BEGE MODELO 2027 076;7899009000761;21/22;8;279.9
900076;TENIS CASUAL BEGE MODELO 2027 076;7899009000762;23/24;10;284.9
900077;MANTA SOFT OFF WHITE BLOOM TESTE 077;7899009000770;U;13;291.9
900078;TOALHA COM CAPUZ CINZA COLECAO DEV 078;7899009000780;U;20;48.9
900079;CHUPETA ORTODONTICA MARINHO LINHA MINI 079;7899009000790;U;9;65.9
900080;BRINQUEDO MUSICAL TERRACOTA MODELO 2027 080;7899009000800;U;16;82.9
900081;BODY MANGA LONGA ROSA BLOOM TESTE 081;7899009000810;RN;5;99.9
900081;BODY MANGA LONGA ROSA BLOOM TESTE 081;7899009000811;P;7;104.9
900082;MACACAO MOLETOM AZUL COLECAO DEV 082;7899009000820;P;12;116.9
900082;MACACAO MOLETOM AZUL COLECAO DEV 082;7899009000821;M;14;121.9
900082;MACACAO MOLETOM AZUL COLECAO DEV 082;7899009000822;G;16;126.9
900083;VESTIDO LISO AMARELO LINHA MINI 083;7899009000830;1;19;133.9
900083;VESTIDO LISO AMARELO LINHA MINI 083;7899009000831;2;3;138.9
900084;CONJUNTO BLUSA E CALCA VERDE MODELO 2027 084;7899009000840;1;8;150.9
900084;CONJUNTO BLUSA E CALCA VERDE MODELO 2027 084;7899009000841;2;10;155.9
900084;CONJUNTO BLUSA E CALCA VERDE MODELO 2027 084;7899009000842;3;12;160.9
900085;BLUSA CROPPED LILAS BLOOM TESTE 085;7899009000850;1;15;167.9
900085;BLUSA CROPPED LILAS BLOOM TESTE 085;7899009000851;2;17;172.9
900086;CALCA JEANS BEGE COLECAO DEV 086;7899009000860;1;4;184.9
900086;CALCA JEANS BEGE COLECAO DEV 086;7899009000861;2;6;189.9
900086;CALCA JEANS BEGE COLECAO DEV 086;7899009000862;3;8;194.9
900087;SHORT JEANS OFF WHITE LINHA MINI 087;7899009000870;1;11;201.9
900087;SHORT JEANS OFF WHITE LINHA MINI 087;7899009000871;2;13;206.9
900088;CASACO CORTA VENTO CINZA MODELO 2027 088;7899009000880;2;18;218.9
900088;CASACO CORTA VENTO CINZA MODELO 2027 088;7899009000881;3;20;223.9
900088;CASACO CORTA VENTO CINZA MODELO 2027 088;7899009000882;4;4;228.9
900089;PIJAMA MALHA MARINHO BLOOM TESTE 089;7899009000890;1;7;235.9
900089;PIJAMA MALHA MARINHO BLOOM TESTE 089;7899009000891;2;9;240.9
900090;JARDINEIRA SARJA TERRACOTA COLECAO DEV 090;7899009000900;1;14;252.9
900090;JARDINEIRA SARJA TERRACOTA COLECAO DEV 090;7899009000901;2;16;257.9
900090;JARDINEIRA SARJA TERRACOTA COLECAO DEV 090;7899009000902;3;18;262.9
900091;SANDALIA VELCRO ROSA LINHA MINI 091;7899009000910;19/20;3;269.9
900091;SANDALIA VELCRO ROSA LINHA MINI 091;7899009000911;21/22;5;274.9
900092;TENIS LONA AZUL MODELO 2027 092;7899009000920;19/20;10;286.9
900092;TENIS LONA AZUL MODELO 2027 092;7899009000921;21/22;12;291.9
900092;TENIS LONA AZUL MODELO 2027 092;7899009000922;23/24;14;296.9
900093;MANTA TRICOT AMARELO BLOOM TESTE 093;7899009000930;U;17;43.9
900094;TOALHA BORDADA VERDE COLECAO DEV 094;7899009000940;U;6;60.9
900095;CHUPETA SILICONE LILAS LINHA MINI 095;7899009000950;U;13;77.9
900096;BRINQUEDO EDUCATIVO BEGE MODELO 2027 096;7899009000960;U;20;94.9
900097;BODY GOLA POLO OFF WHITE BLOOM TESTE 097;7899009000970;RN;9;111.9
900097;BODY GOLA POLO OFF WHITE BLOOM TESTE 097;7899009000971;P;11;116.9
900098;MACACAO SUEDINE CINZA COLECAO DEV 098;7899009000980;P;16;128.9
900098;MACACAO SUEDINE CINZA COLECAO DEV 098;7899009000981;M;18;133.9
900098;MACACAO SUEDINE CINZA COLECAO DEV 098;7899009000982;G;20;138.9
900099;VESTIDO TULE MARINHO LINHA MINI 099;7899009000990;1;5;145.9
900099;VESTIDO TULE MARINHO LINHA MINI 099;7899009000991;2;7;150.9
900100;CONJUNTO MOLETOM E JOGGER TERRACOTA MODELO 2027 100;7899009001000;1;12;162.9
900100;CONJUNTO MOLETOM E JOGGER TERRACOTA MODELO 2027 100;7899009001001;2;14;167.9
900100;CONJUNTO MOLETOM E JOGGER TERRACOTA MODELO 2027 100;7899009001002;3;16;172.9
900101;BLUSA MANGA BUFANTE ROSA BLOOM TESTE 101;7899009001010;1;19;179.9
900101;BLUSA MANGA BUFANTE ROSA BLOOM TESTE 101;7899009001011;2;3;184.9
900102;CALCA MOLETOM AZUL COLECAO DEV 102;7899009001020;1;8;196.9
900102;CALCA MOLETOM AZUL COLECAO DEV 102;7899009001021;2;10;201.9
900102;CALCA MOLETOM AZUL COLECAO DEV 102;7899009001022;3;12;206.9
900103;SHORT MOLETOM AMARELO LINHA MINI 103;7899009001030;1;15;213.9
900103;SHORT MOLETOM AMARELO LINHA MINI 103;7899009001031;2;17;218.9
900104;CASACO TRICOT VERDE MODELO 2027 104;7899009001040;2;4;230.9
900104;CASACO TRICOT VERDE MODELO 2027 104;7899009001041;3;6;235.9
900104;CASACO TRICOT VERDE MODELO 2027 104;7899009001042;4;8;240.9
900105;PIJAMA FLANELA LILAS BLOOM TESTE 105;7899009001050;1;11;247.9
900105;PIJAMA FLANELA LILAS BLOOM TESTE 105;7899009001051;2;13;252.9
900106;JARDINEIRA MOLETOM BEGE COLECAO DEV 106;7899009001060;1;18;264.9
900106;JARDINEIRA MOLETOM BEGE COLECAO DEV 106;7899009001061;2;20;269.9
900106;JARDINEIRA MOLETOM BEGE COLECAO DEV 106;7899009001062;3;4;274.9
900107;SANDALIA FLOR OFF WHITE LINHA MINI 107;7899009001070;19/20;7;281.9
900107;SANDALIA FLOR OFF WHITE LINHA MINI 107;7899009001071;21/22;9;286.9
900108;TENIS LUZ CINZA MODELO 2027 108;7899009001080;19/20;14;298.9
900108;TENIS LUZ CINZA MODELO 2027 108;7899009001081;21/22;16;303.9
900108;TENIS LUZ CINZA MODELO 2027 108;7899009001082;23/24;18;308.9
900109;MANTA PELUCIA MARINHO BLOOM TESTE 109;7899009001090;U;3;55.9
900110;TOALHA FRALDA TERRACOTA COLECAO DEV 110;7899009001100;U;10;72.9
900111;CHUPETA BICO REDONDO ROSA LINHA MINI 111;7899009001110;U;17;89.9
900112;BRINQUEDO MONTAR AZUL MODELO 2027 112;7899009001120;U;6;106.9
900113;BODY TRANSPASSADO AMARELO BLOOM TESTE 113;7899009001130;RN;13;123.9
900113;BODY TRANSPASSADO AMARELO BLOOM TESTE 113;7899009001131;P;15;128.9
900114;MACACAO CANELADO VERDE COLECAO DEV 114;7899009001140;P;20;140.9
900114;MACACAO CANELADO VERDE COLECAO DEV 114;7899009001141;M;4;145.9
900114;MACACAO CANELADO VERDE COLECAO DEV 114;7899009001142;G;6;150.9
900115;VESTIDO LACO LILAS LINHA MINI 115;7899009001150;1;9;157.9
900115;VESTIDO LACO LILAS LINHA MINI 115;7899009001151;2;11;162.9
900116;CONJUNTO REGATA E BERMUDA BEGE MODELO 2027 116;7899009001160;1;16;174.9
900116;CONJUNTO REGATA E BERMUDA BEGE MODELO 2027 116;7899009001161;2;18;179.9
900116;CONJUNTO REGATA E BERMUDA BEGE MODELO 2027 116;7899009001162;3;20;184.9
900117;BLUSA TRICOT OFF WHITE BLOOM TESTE 117;7899009001170;1;5;191.9
900117;BLUSA TRICOT OFF WHITE BLOOM TESTE 117;7899009001171;2;7;196.9
900118;CALCA LEGGING CINZA COLECAO DEV 118;7899009001180;1;12;208.9
900118;CALCA LEGGING CINZA COLECAO DEV 118;7899009001181;2;14;213.9
900118;CALCA LEGGING CINZA COLECAO DEV 118;7899009001182;3;16;218.9
900119;SHORT TACTEL MARINHO LINHA MINI 119;7899009001190;1;19;225.9
900119;SHORT TACTEL MARINHO LINHA MINI 119;7899009001191;2;3;230.9
900120;CASACO PUFFER TERRACOTA MODELO 2027 120;7899009001200;2;8;242.9
900120;CASACO PUFFER TERRACOTA MODELO 2027 120;7899009001201;3;10;247.9
900120;CASACO PUFFER TERRACOTA MODELO 2027 120;7899009001202;4;12;252.9
900121;PIJAMA SHORT DOLL ROSA BLOOM TESTE 121;7899009001210;1;15;259.9
900121;PIJAMA SHORT DOLL ROSA BLOOM TESTE 121;7899009001211;2;17;264.9
900122;JARDINEIRA LINHO AZUL COLECAO DEV 122;7899009001220;1;4;276.9
900122;JARDINEIRA LINHO AZUL COLECAO DEV 122;7899009001221;2;6;281.9
900122;JARDINEIRA LINHO AZUL COLECAO DEV 122;7899009001222;3;8;286.9
900123;SANDALIA METALIZADA AMARELO LINHA MINI 123;7899009001230;19/20;11;293.9
900123;SANDALIA METALIZADA AMARELO LINHA MINI 123;7899009001231;21/22;13;298.9
900124;TENIS PASSEIO VERDE MODELO 2027 124;7899009001240;19/20;18;50.9
900124;TENIS PASSEIO VERDE MODELO 2027 124;7899009001241;21/22;20;55.9
900124;TENIS PASSEIO VERDE MODELO 2027 124;7899009001242;23/24;4;60.9
900125;MANTA BORDADA LILAS BLOOM TESTE 125;7899009001250;U;7;67.9
900126;TOALHA KIT BEGE COLECAO DEV 126;7899009001260;U;14;84.9
900127;CHUPETA COM CLIPE OFF WHITE LINHA MINI 127;7899009001270;U;3;101.9
900128;BRINQUEDO DE BANHO CINZA MODELO 2027 128;7899009001280;U;10;118.9
900129;BODY MANGA CURTA MARINHO BLOOM TESTE 129;7899009001290;RN;17;135.9
900129;BODY MANGA CURTA MARINHO BLOOM TESTE 129;7899009001291;P;19;140.9
900130;MACACAO PLUSH TERRACOTA COLECAO DEV 130;7899009001300;P;6;152.9
900130;MACACAO PLUSH TERRACOTA COLECAO DEV 130;7899009001301;M;8;157.9
900130;MACACAO PLUSH TERRACOTA COLECAO DEV 130;7899009001302;G;10;162.9
900131;VESTIDO FLORAL ROSA LINHA MINI 131;7899009001310;1;13;169.9
900131;VESTIDO FLORAL ROSA LINHA MINI 131;7899009001311;2;15;174.9
900132;CONJUNTO CAMISETA E SHORT AZUL MODELO 2027 132;7899009001320;1;20;186.9
900132;CONJUNTO CAMISETA E SHORT AZUL MODELO 2027 132;7899009001321;2;4;191.9
900132;CONJUNTO CAMISETA E SHORT AZUL MODELO 2027 132;7899009001322;3;6;196.9
900133;BLUSA BASICA AMARELO BLOOM TESTE 133;7899009001330;1;9;203.9
900133;BLUSA BASICA AMARELO BLOOM TESTE 133;7899009001331;2;11;208.9
900134;CALCA SARJA VERDE COLECAO DEV 134;7899009001340;1;16;220.9
900134;CALCA SARJA VERDE COLECAO DEV 134;7899009001341;2;18;225.9
900134;CALCA SARJA VERDE COLECAO DEV 134;7899009001342;3;20;230.9
900135;SHORT SARJA LILAS LINHA MINI 135;7899009001350;1;5;237.9
900135;SHORT SARJA LILAS LINHA MINI 135;7899009001351;2;7;242.9
900136;CASACO MOLETOM BEGE MODELO 2027 136;7899009001360;2;12;254.9
900136;CASACO MOLETOM BEGE MODELO 2027 136;7899009001361;3;14;259.9
900136;CASACO MOLETOM BEGE MODELO 2027 136;7899009001362;4;16;264.9
900137;PIJAMA SUEDINE OFF WHITE BLOOM TESTE 137;7899009001370;1;19;271.9
900137;PIJAMA SUEDINE OFF WHITE BLOOM TESTE 137;7899009001371;2;3;276.9
900138;JARDINEIRA JEANS CINZA COLECAO DEV 138;7899009001380;1;8;288.9
900138;JARDINEIRA JEANS CINZA COLECAO DEV 138;7899009001381;2;10;293.9
900138;JARDINEIRA JEANS CINZA COLECAO DEV 138;7899009001382;3;12;298.9
900139;SANDALIA TIRAS MARINHO LINHA MINI 139;7899009001390;19/20;15;45.9
900139;SANDALIA TIRAS MARINHO LINHA MINI 139;7899009001391;21/22;17;50.9
900140;TENIS CASUAL TERRACOTA MODELO 2027 140;7899009001400;19/20;4;62.9
900140;TENIS CASUAL TERRACOTA MODELO 2027 140;7899009001401;21/22;6;67.9
900140;TENIS CASUAL TERRACOTA MODELO 2027 140;7899009001402;23/24;8;72.9
900141;MANTA SOFT ROSA BLOOM TESTE 141;7899009001410;U;11;79.9
900142;TOALHA COM CAPUZ AZUL COLECAO DEV 142;7899009001420;U;18;96.9
900143;CHUPETA ORTODONTICA AMARELO LINHA MINI 143;7899009001430;U;7;113.9
900144;BRINQUEDO MUSICAL VERDE MODELO 2027 144;7899009001440;U;14;130.9
900145;BODY MANGA LONGA LILAS BLOOM TESTE 145;7899009001450;RN;3;147.9
900145;BODY MANGA LONGA LILAS BLOOM TESTE 145;7899009001451;P;5;152.9
900146;MACACAO MOLETOM BEGE COLECAO DEV 146;7899009001460;P;10;164.9
900146;MACACAO MOLETOM BEGE COLECAO DEV 146;7899009001461;M;12;169.9
900146;MACACAO MOLETOM BEGE COLECAO DEV 146;7899009001462;G;14;174.9
900147;VESTIDO LISO OFF WHITE LINHA MINI 147;7899009001470;1;17;181.9
900147;VESTIDO LISO OFF WHITE LINHA MINI 147;7899009001471;2;19;186.9
900148;CONJUNTO BLUSA E CALCA CINZA MODELO 2027 148;7899009001480;1;6;198.9
900148;CONJUNTO BLUSA E CALCA CINZA MODELO 2027 148;7899009001481;2;8;203.9
900148;CONJUNTO BLUSA E CALCA CINZA MODELO 2027 148;7899009001482;3;10;208.9
